호칭치수,A,B,t,r1,r2,단면적,단위무게,Cx,Cy,Ix,Iy,max_Iu,min_Iv,ix,iy,max_iu,min_iv,Tan_alpha,Zx,Zy,KS규격여부
50x30,50,30,3,6,2,2.33,1.83,1.65,0.66,6.06,2.05,8.6,0.99,1.91,0.99,6.76,1.00,0.36,1.80,0.704,O
90x75,90,75,9,8.5,6,14.04,11.0,2.75,2.00,109,68.1,143,34.1,2.78,2.20,3.19,1.56,0.676,17.4,12.4,O
100x75,100,75,7,10,5,11.87,9.32,3.06,1.83,118,56.9,144,30.8,3.15,2.19,3.49,1.61,0.548,17.0,10.0,O
100x75,100,75,10,10,7,16.50,13.0,3.17,1.94,159,76.1,194,41.3,3.11,2.15,3.43,1.58,0.543,23.3,13.7,O
125x75,125,75,7,10,5,13.62,10.7,4.10,1.64,219,60.4,243,36.4,4.01,2.11,4.23,1.64,0.362,26.1,10.3,O
125x75,125,75,10,10,7,19.00,14.9,4.22,1.75,299,80.8,330,49.0,3.96,2.06,4.17,1.61,0.357,36.1,14.1,X
125x75,125,75,13,10,7,24.31,19.1,4.35,1.87,376,101,415,61.9,3.93,2.04,4.13,1.60,0.352,46.1,17.9,O
125x90,125,90,10,10,7,20.50,16.1,3.95,2.22,318,138,380,76.2,3.94,2.59,4.30,1.93,0.505,37.2,20.3,O
125x90,125,90,13,10,7,26.26,20.6,4.07,2.34,401,173,477,96.3,3.91,2.57,4.26,1.91,0.501,47.5,25.9,O
150x90,150,90,9,12,6,20.94,16.4,4.95,1.99,485,133,537,80.4,4.81,2.52,5.06,1.96,0.361,48.2,19.0,O
150x90,150,90,12,12,8.5,27.36,21.5,5.07,2.10,619,167,685,102,4.76,2.47,5.00,1.93,0.357,62.3,24.3,O
150x100,150,100,9,12,6,21.84,17.1,4.76,2.30,502,181,579,104,4.79,2.88,5.15,2.18,0.439,49.1,23.5,O
150x100,150,100,12,12,8.5,28.56,22.4,4.88,2.41,642,228,738,132,4.74,2.83,5.09,2.15,0.435,63.4,30.1,O
150x100,150,100,15,12,8.5,35.25,27.7,5.00,2.53,782,276,897,161,4.71,2.80,5.04,2.14,0.431,78.2,37.0,O
